index,Tech,n_breaks,First Diff.,AIC,BIC,Intercept,Initial production,Breakpoint 1,Breakpoint 2,Breakpoint 3,Breakpoint 4,Breakpoint 5,Breakpoint 6,Final production,LR 1,LR 2,LR 3,LR 4,LR 5,LR 6,LR 7,Number of observations
28,Wind_Electricity,0,1,-78.16672188671727,-77.12219944899384,,3.7278706520395737,,,,,,,7.916108381440494,3.784704824676655,,,,,,,22
29,Wind_Electricity,0,0,-46.91089537432988,-44.72881046761325,2.126585360363224,3.7278706520395737,,,,,,,7.916108381440494,11.345811888178105,,,,,,,22
30,Wind_Electricity,1,0,-68.89923885848552,-64.53506904505225,1.8387370764111288,3.7278706520395737,6.754317626554849,,,,,,7.916108381440494,7.389452299697319,23.38557983111681,,,,,,22
31,Wind_Electricity,2,0,-69.54273595785085,-62.99648123770096,1.846039218052085,3.7278706520395737,6.918547648986355,7.499235115966066,,,,,7.916108381440494,7.498866472973553,30.0753667282344,12.906114801266888,,,,,22
32,Milk_(US),0,1,-459.9651091428741,-457.6213037210204,,5.81109776828194,,,,,,,7.028241597187251,15.40315640352472,,,,,,,78
33,Milk_(US),0,0,-180.26271334540425,-175.54929569202503,6.602438865502514,5.81109776828194,,,,,,,7.028241597187251,37.89078441640401,,,,,,,78
34,Milk_(US),1,0,-480.706340488329,-471.2795051815706,3.3003411301278303,5.81109776828194,6.463448696143932,,,,,,7.028241597187251,10.258338197443418,52.47618061289116,,,,,,78
35,HydrofluoricAcid,0,1,-51.333373976284406,-51.03078888329036,,2.385089564478861,,,,,,,3.454724621297743,2.6757850759737023,,,,,,,11
36,HydrofluoricAcid,0,0,-57.19307390442327,-56.39728335882653,1.177090780868527,2.385089564478861,,,,,,,3.454724621297743,0.7941458874294205,,,,,,,11
37,HydrofluoricAcid,1,0,-58.985077215617736,-57.39349612442425,1.3103662950561268,2.385089564478861,3.0201517780141853,,,,,,3.454724621297743,4.142890036465962,-3.881164276896532,,,,,,11
38,Transistor,0,1,-64.83482584502566,-63.25130690656955,,0.5431479942360623,,,,,,,9.755438023037494,44.56605223001632,,,,,,,37
39,Transistor,0,0,-43.33402328937678,-40.11218746408833,0.7815943560618572,0.5431479942360623,,,,,,,9.755438023037494,43.02564102249898,,,,,,,37
40,Transistor,1,0,-56.18505737284568,-49.74138572226878,1.0973441420307215,0.5431479942360623,2.6097329873074995,,,,,,9.755438023037494,49.32345898192438,41.9541457899734,,,,,,37
41,Transistor,2,0,-79.2396768505669,-69.57416937470154,1.0555174324904864,0.5431479942360623,3.510880604039269,7.863581592515066,,,,,9.755438023037494,48.216602494277694,39.66023599316275,48.62929068111317,,,,,37
42,Transistor,3,0,-84.11997861886803,-71.23263531771424,1.1141830721715842,0.5431479942360623,2.7328233349770845,7.100795064640795,7.591556985614778,,,,9.755438023037494,49.86015890703303,41.32058043072778,23.560715620508343,49.35432675779493,,,,37
43,Transistor,4,0,-80.61989385173615,-64.51071472529391,1.0436412699194126,0.5431479942360623,3.6027926892248487,6.269015271083156,7.010063900283651,7.579000157570052,,,9.755438023037494,47.91040517587266,39.70413368336138,46.03035569253636,20.964606765493052,49.35432675779472,,,37
44,Transistor,5,0,-77.98467666164046,-58.65366170990977,1.1355606541873564,0.5431479942360623,1.423650867823819,3.75101442114085,6.327607276195064,6.773019298252176,7.631989665703901,,9.755438023037494,51.06283658808154,46.92819455025506,39.44645741036813,52.25550668787107,27.448914947832986,49.354326757794894,,37
